# Raw Wintab pkTime read against GetTickCount64, one row per packet, taken on a Wacom DTH246
# on 13 Sep 2026 through Scribble.WinForms on the hi-res digitizer context.
#
# This is the measurement that settled pkTime's origin, which Wintab documents nowhere and
# which no stroke recording could answer -- StrokeRecorder writes times relative to the first
# point by design, so it carries no machine uptime at all.
#
# The answer: pkTime is counted on the GetTickCount64 epoch. Over 6217 packets spanning
# 41703ms, pkTime advanced 41703ms against 41703ms of wall clock, and the offset between the
# two stayed between -6ms and +34ms. The run contained a deliberate five-second pause with the
# pen away from the tablet: a counter that only advanced while packets arrived would have
# fallen five seconds behind across it, and this one did not.
#
# The negative end of that offset range is not noise. GetTickCount64 advances in steps of
# about 15.6ms while pkTime is finer, so a packet stamped just after a tick genuinely reads
# ahead of it. The median offset of 15ms is mostly that quantisation rather than delivery
# latency. The first version of the analysis subtracted in unsigned 32-bit arithmetic and
# reported that -1ms as 4294967295, declaring the clock unanchorable; the regression case for
# it is probe/tick-lags-pktime in --selftest-clock.
#
# What it changed: both Wintab sessions now anchor against the system clock instead of
# watching for a backward jump, so a wrap that happens while a session is stopped, or across a
# gap where the capture region discarded every packet, is recovered rather than missed.
#
pkTime,tickCount64
132284050,132284062
132284056,132284062
132284061,132284078
132284067,132284078
132284072,132284078
132284078,132284093
132284084,132284093
132284089,132284093
132284095,132284109
132284100,132284109
132284106,132284109
132284111,132284125
132284117,132284125
132284122,132284140
132284128,132284140
132284134,132284140
132284139,132284156
132284145,132284156
132284150,132284156
132284156,132284171
132284161,132284171
132284167,132284171
132284172,132284187
132284178,132284187
132284183,132284203
132284189,132284203
132284195,132284203
132284200,132284218
132284206,132284218
132284211,132284218
132284217,132284234
132284222,132284234
132284228,132284234
132284233,132284250
132284239,132284250
132284245,132284250
132284250,132284265
132284256,132284265
132284261,132284281
132284267,132284281
132284272,132284281
132284278,132284296
132284283,132284296
132284289,132284296
132284295,132284312
132284300,132284312
132284306,132284312
132284311,132284328
132284317,132284328
132284322,132284328
132284328,132284343
132284333,132284343
132284339,132284343
132284345,132284359
132284350,132284359
132284356,132284359
132284361,132284375
132284367,132284375
132284372,132284375
132284378,132284390
132284383,132284390
132284389,132284406
132284395,132284406
132284400,132284406
132284406,132284421
132284411,132284421
132284417,132284421
132284422,132284437
132284428,132284437
132284433,132284437
132284439,132284453
132284445,132284453
132284450,132284453
132284456,132284468
132284461,132284468
132284467,132284484
132284472,132284484
132284478,132284484
132284483,132284500
132284489,132284500
132284495,132284500
132284500,132284515
132284506,132284515
132284511,132284531
132284517,132284531
132284522,132284531
132284528,132284546
132284533,132284546
132284539,132284546
132284545,132284562
132284550,132284562
132284556,132284562
132284561,132284578
132284567,132284578
132284572,132284578
132284578,132284593
132284583,132284593
132284589,132284593
132284595,132284609
132284600,132284609
132284606,132284609
132284611,132284625
132284617,132284625
132284622,132284640
132284628,132284640
132284633,132284640
132284639,132284656
132284645,132284656
132284650,132284656
132284656,132284671
132284661,132284671
132284667,132284671
132284672,132284687
132284678,132284687
132284683,132284703
132284689,132284703
132284695,132284703
132284700,132284718
132284706,132284718
132284711,132284718
132284717,132284734
132284722,132284734
132284728,132284734
132284733,132284750
132284739,132284750
132284745,132284750
132284750,132284765
132284756,132284765
132284761,132284781
132284767,132284781
132284772,132284781
132284778,132284796
132284783,132284796
132284789,132284796
132284795,132284812
132284800,132284812
132284806,132284812
132284811,132284828
132284817,132284828
132284822,132284828
132284828,132284843
132284833,132284843
132284839,132284843
132284845,132284859
132284850,132284859
132284856,132284859
132284861,132284875
132284867,132284875
132284872,132284890
132284878,132284890
132284883,132284890
132284889,132284906
132284895,132284906
132284900,132284906
132284906,132284921
132284911,132284921
132284917,132284921
132284922,132284937
132284928,132284937
132284933,132284953
132284939,132284953
132284945,132284953
132284950,132284968
132284956,132284968
132284961,132284968
132284967,132284984
132284972,132284984
132284978,132284984
132284983,132285000
132284989,132285000
132284995,132285015
132285000,132285015
132285006,132285015
132285011,132285031
132285017,132285031
132285022,132285031
132285028,132285046
132285033,132285046
132285039,132285046
132285045,132285062
132285050,132285062
132285056,132285062
132285061,132285078
132285067,132285078
132285072,132285078
132285078,132285093
132285083,132285093
132285089,132285093
132285095,132285109
132285100,132285109
132285106,132285125
132285111,132285125
132285117,132285125
132285122,132285140
132285128,132285140
132285133,132285140
132285139,132285156
132285145,132285156
132285150,132285156
132285156,132285171
132285161,132285171
132285167,132285171
132285172,132285187
132285178,132285187
132285183,132285203
132285189,132285203
132285195,132285203
132285200,132285218
132285206,132285218
132285211,132285218
132285217,132285234
132285222,132285234
132285228,132285234
132285233,132285250
132285239,132285250
132285245,132285250
132285250,132285265
132285256,132285265
132285261,132285281
132285267,132285281
132285272,132285281
132285278,132285296
132285283,132285296
132285289,132285296
132285294,132285312
132285300,132285312
132285306,132285312
132285311,132285328
132285317,132285328
132285322,132285328
132285328,132285343
132285333,132285343
132285339,132285343
132285344,132285359
132285350,132285359
132285356,132285375
132285361,132285375
132285367,132285375
132285372,132285390
132285378,132285390
132285383,132285390
132285389,132285406
132285394,132285406
132285400,132285406
132285406,132285421
132285411,132285421
132285417,132285421
132285422,132285437
132285428,132285437
132285433,132285453
132285439,132285453
132285444,132285453
132285450,132285468
132285456,132285468
132285461,132285468
132285467,132285484
132285472,132285484
132285478,132285484
132285483,132285500
132285489,132285500
132285494,132285500
132285500,132285515
132285506,132285515
132285511,132285531
132285517,132285531
132285522,132285531
132285528,132285546
132285533,132285546
132285539,132285546
132285544,132285562
132285550,132285562
132285556,132285562
132285561,132285578
132285567,132285578
132285572,132285578
132285578,132285593
132285583,132285593
132285589,132285593
132285594,132285609
132285600,132285609
132285606,132285609
132285611,132285625
132285617,132285625
132285622,132285640
132285628,132285640
132285633,132285640
132285639,132285656
132285644,132285656
132285650,132285656
132285656,132285671
132285661,132285671
132285667,132285671
132285672,132285687
132285678,132285687
132285683,132285703
132285689,132285703
132285694,132285703
132285700,132285718
132285706,132285718
132285711,132285718
132285717,132285734
132285722,132285734
132285728,132285734
132285733,132285750
132285739,132285750
132285744,132285765
132285750,132285765
132285756,132285765
132285761,132285781
132285767,132285781
132285772,132285781
132285778,132285796
132285783,132285796
132285789,132285796
132285794,132285812
132285800,132285812
132285806,132285812
132285811,132285828
132285817,132285828
132285822,132285828
132285828,132285843
132285833,132285843
132285839,132285843
132285844,132285859
132285850,132285859
132285856,132285875
132285861,132285875
132285867,132285875
132285872,132285890
132285878,132285890
132285883,132285890
132285889,132285906
132285894,132285906
132285900,132285906
132285906,132285921
132285911,132285921
132285917,132285937
132285922,132285937
132285928,132285937
132285933,132285953
132285939,132285953
132285944,132285953
132285950,132285968
132285956,132285968
132285961,132285968
132285967,132285984
132285972,132285984
132285978,132285984
132285983,132286000
132285989,132286000
132285994,132286015
132286000,132286015
132286006,132286015
132286011,132286031
132286017,132286031
132286022,132286031
132286028,132286046
132286033,132286046
132286039,132286046
132286044,132286062
132286050,132286062
132286056,132286062
132286061,132286078
132286067,132286078
132286072,132286078
132286078,132286093
132286083,132286093
132286089,132286093
132286094,132286109
132286100,132286109
132286106,132286125
132286111,132286125
132286117,132286125
132286122,132286140
132286128,132286140
132286133,132286140
132286139,132286156
132286144,132286156
132286150,132286156
132286156,132286171
132286161,132286171
132286167,132286171
132286172,132286187
132286178,132286187
132286183,132286203
132286189,132286203
132286194,132286203
132286200,132286218
132286206,132286218
132286211,132286218
132286217,132286234
132286222,132286234
132286228,132286234
132286233,132286250
132286239,132286250
132286244,132286265
132286250,132286265
132286256,132286265
132286261,132286281
132286267,132286281
132286272,132286281
132286278,132286296
132286283,132286296
132286289,132286296
132286294,132286312
132286300,132286312
132286306,132286312
132286311,132286328
132286317,132286328
132286322,132286328
132286328,132286343
132286333,132286343
132286339,132286343
132286344,132286359
132286350,132286359
132286356,132286375
132286361,132286375
132286367,132286375
132286372,132286390
132286378,132286390
132286383,132286390
132286389,132286406
132286394,132286406
132286400,132286406
132286405,132286421
132286411,132286421
132286417,132286437
132286422,132286437
132286428,132286437
132286433,132286453
132286439,132286453
132286444,132286453
132286450,132286468
