utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T18:48:25.282Z,58492,manager_exports,0000000000000000,1,0.000,512,4,512,4,"open;close;enum;owner;default"
2026-09-14T18:48:25.296Z,58492,manager_open,0000000000000004,1,0.082,512,4,512,4,"hidden;lastError=0"
2026-09-14T18:48:26.173Z,58492,enumerated_context,0000000000000AC4,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-60"
2026-09-14T18:48:26.188Z,58492,enumerated_context,0000000000000AC3,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-59"
2026-09-14T18:48:26.203Z,58492,enumerated_context,0000000000000AC2,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-58"
2026-09-14T18:48:26.218Z,58492,enumerated_context,0000000000000AC1,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-57"
2026-09-14T18:48:26.236Z,58492,enumerated_context,0000000000000AC0,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-56"
2026-09-14T18:48:26.248Z,58492,enumerated_context,0000000000000ABF,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-55"
2026-09-14T18:48:26.262Z,58492,enumerated_context,0000000000000ABE,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-54"
2026-09-14T18:48:26.275Z,58492,enumerated_context,0000000000000ABD,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-53"
2026-09-14T18:48:26.288Z,58492,enumerated_context,0000000000000ABC,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-52"
2026-09-14T18:48:26.300Z,58492,enumerated_context,0000000000000ABB,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-51"
